"id","municipality_name_fr","code_ins"
"056F36007","Ingelmunster","36007"
"056F36008","Izegem","36008"
"056F36010","Ledegem","36010"
"056F36011","Lichtervelde","36011"
"056F36012","Moorslede","36012"
"056F36015","Roulers","36015"
"056F36019","Staden","36019"
"056F46003","Beveren","46003"
"056F46013","Kruibeke","46013"
"056F46014","Lokeren","46014"
"056F46021","Saint-Nicolas","46021"
"056F46020","Sint-Gillis-Waas","46020"
"056F46024","Stekene","46024"
"056F46025","Tamise","46025"
"056W55004","Braine-le-Comte","55004"
"056W55050","Ecaussinnes","55050"
"056W55010","Enghien","55010"
"056W55022","La Louvière","55022"
"056W55035","Le Roeulx","55035"
"056W55023","Lessines","55023"
"056W55039","Silly","55039"
"056W55040","Soignies","55040"
"056F42003","Berlare","42003"
"056F42004","Buggenhout","42004"
"056F42008","Hamme","42008"
"056F42010","Laarne","42010"
"056F42011","Lebbeke","42011"
"056F42006","Termonde","42006"
"056F42023","Waasmunster","42023"
"056F42025","Wetteren","42025"
"056F42026","Wichelen","42026"
"056F42028","Zele","42028"
"056W56001","Anderlues","56001"
"056W56005","Beaumont","56005"
"056W56011","Binche","56011"
"056W56016","Chimay","56016"
"056W56022","Erquelinnes","56022"
"056W56085","Estinnes","56085"
"056W56029","Froidchapelle","56029"
"056W56086","Ham-sur-Heure-Nalinnes","56086"
"056W56044","Lobbes","56044"
"056W56049","Merbes-le-Château","56049"
"056W56051","Momignies","56051"
"056W56087","Morlanwelz","56087"
"056W56088","Sivry-Rance","56088"
"056W56078","Thuin","56078"
"056F37020","Ardooie","37020"
"056F37002","Dentergem","37002"
"056F37007","Meulebeke","37007"
"056F37010","Oostrozebeke","37010"
"056F37011","Pittem","37011"
"056F37012","Ruiselede","37012"
"056F37015","Tielt","37015"
"056F37017","Wielsbeke","37017"
"056F37018","Wingene","37018"
"056F73001","Alken","73001"
"056F73006","Bilzen","73006"
"056F73109","Fourons","73109"
"056F73022","Heers","73022"
"056F73028","Herstappe","73028"
"056F73032","Hoeselt","73032"
"056F73040","Kortessem","73040"
"056F73042","Lanaken","73042"
"056F73009","Looz","73009"
"056F73107","Maasmechelen","73107"
"056F73066","Riemst","73066"
"056F73083","Tongres","73083"
"056F73098","Wellen","73098"
"056W57003","Antoing","57003"
"056W57093","Brunehaut","57093"
"056W57018","Celles","57018"
"056W57027","Estaimpuis","57027"
"056W57094","Leuze-en-Hainaut","57094"
"056W57095","Mont-de-l'Enclus","57095"
"056W57062","Pecq","57062"
"056W57064","Péruwelz","57064"
"056W57072","Rumes","57072"
"056W57081","Tournai","57081"
"056F13001","Arendonk","13001"
"056F13002","Baerle-Duc","13002"
"056F13003","Balen","13003"
"056F13004","Beerse","13004"
"056F13006","Dessel","13006"
"056F13008","Geel","13008"
"056F13010","Grobbendonk","13010"
"056F13011","Herentals","13011"
"056F13012","Herenthout","13012"
"056F13013","Herselt","13013"
"056F13014","Hoogstraten","13014"
"056F13016","Hulshout","13016"
"056F13017","Kasterlee","13017"
"056F13053","Laakdal","13053"
"056F13019","Lille","13019"
"056F13021","Meerhout","13021"
"056F13023","Merksplas","13023"
"056F13025","Mol","13025"
"056F13029","Olen","13029"
"056F13031","Oud-Turnhout","13031"
"056F13035","Ravels","13035"
"056F13036","Retie","13036"
"056F13037","Rijkevorsel","13037"
"056F13040","Turnhout","13040"
"056F13044","Vorselaar","13044"
"056F13046","Vosselaar","13046"
"056F13049","Westerlo","13049"
"056W63001","Amblève","63001"
"056W63003","Aubel","63003"
"056W63004","Baelen","63004"
"056W63012","Bullange","63012"
"056W63087","Burg-Reuland","63087"
"056W63013","Butgenbach","63013"
"056W63020","Dison","63020"
"056W63023","Eupen","63023"
"056W63035","Herve","63035"
"056W63038","Jalhay","63038"
"056W63040","La Calamine","63040"
"056W63045","Lierneux","63045"
"056W63046","Limbourg","63046"
"056W63048","Lontzen","63048"
"056W63049","Malmedy","63049"
"056W63057","Olne","63057"
"056W63058","Pepinster","63058"
"056W63088","Plombières","63088"
"056W63061","Raeren","63061"
"056W63067","Saint-Vith","63067"
"056W63072","Spa","63072"
"056W63073","Stavelot","63073"
"056W63075","Stoumont","63075"
"056W63076","Theux","63076"
"056W63089","Thimister-Clermont","63089"
"056W63086","Trois-Ponts","63086"
"056W63079","Verviers","63079"
"056W63080","Waimes","63080"
"056W63084","Welkenraedt","63084"
"056W85007","Chiny","85007"
"056W85009","Etalle","85009"
"056W85011","Florenville","85011"
"056W85046","Habay","85046"
"056W85024","Meix-devant-Virton","85024"
"056W85026","Musson","85026"
"056W85047","Rouvroy","85047"
"056W85034","Saint-Léger","85034"
"056W85039","Tintigny","85039"
"056W85045","Virton","85045"
"056W64008","Berloz","64008"
"056W64015","Braives","64015"
"056W64021","Crisnée","64021"
"056W64023","Donceel","64023"
"056W64076","Faimes","64076"
"056W64025","Fexhe-le-Haut-Clocher","64025"
"056W64029","Geer","64029"
"056W64034","Hannut","64034"
"056W64047","Lincent","64047"
"056W64056","Oreye","64056"
"056W64063","Remicourt","64063"
"056W64065","Saint-Georges-sur-Meuse","64065"
"056W64074","Waremme","64074"
"056W64075","Wasseiges","64075"
"056F33039","Heuvelland","33039"
"056F33040","Langemark-Poelkapelle","33040"
"056F33016","Messines","33016"
"056F33021","Poperinge","33021"
"056F33041","Vleteren","33041"
"056F33029","Wervik","33029"
"056F33011","Ypres","33011"
"056F33037","Zonnebeke","33037"
"056B21001","Anderlecht","21001"
"056B21002","Auderghem","21002"
"056B21003","Berchem-Sainte-Agathe","21003"
"056B21004","Bruxelles","21004"
"056B21005","Etterbeek","21005"
"056B21006","Evere","21006"
"056B21007","Forest","21007"
"056B21008","Ganshoren","21008"
"056B21009","Ixelles","21009"
"056B21010","Jette","21010"
"056B21011","Koekelberg","21011"
"056B21012","Molenbeek-Saint-Jean","21012"
"056B21013","Saint-Gilles","21013"
"056B21014","Saint-Josse-ten-Noode","21014"
"056B21015","Schaerbeek","21015"
"056B21016","Uccle","21016"
"056B21017","Watermael-Boitsfort","21017"
"056B21018","Woluwe-Saint-Lambert","21018"
"056B21019","Woluwe-Saint-Pierre","21019"
