"id","municipality_name","entitled_to_vote","turnout","yes","no","yes_percentage"
75602440990,"Walliswil bei Niederbipp",180,58.3,57,48,54.3
75602440991,"Walliswil bei Wangen",489,56,152,122,55.5
75602430754,"Walperswil",760,60.8,242,219,52.5
75602440959,"Walterswil (BE)",442,53.4,150,85,63.8
75602440992,"Wangen an der Aare",1642,58.6,464,499,48.2
75602440993,"Wangenried",340,60.3,105,100,51.2
75602470886,"Wattenwil",2270,59.9,751,609,55.2
75602430394,"Wengi",449,61.9,153,124,55.2
75602460632,"Wichtrach",3149,61.7,852,1090,43.9
75602440995,"Wiedlisbach",1648,54.8,466,437,51.6
75602460553,"Wiggiswil",151,68.9,52,52,50
75602500594,"Wilderswil",1893,55.7,541,513,51.3
75602450554,"Wiler bei Utzenstorf",703,51.9,170,195,46.6
75602460671,"Wileroltigen",281,60.9,102,69,59.6
75602450423,"Willadingen",174,62.1,53,55,49.1
75602490769,"Wimmis",1839,60.4,665,445,59.9
75602460360,"Wohlen bei Bern",6886,73.3,1535,3509,30.4
75602440996,"Wolfisberg",151,60.3,52,39,57.1
75602460627,"Worb",8197,63.3,1888,3303,36.4
75602430755,"Worben",1693,60.7,522,505,50.8
75602440345,"Wynau",1084,52.6,305,265,53.5
75602450424,"Wynigen",1653,60.1,505,488,50.9
75602440960,"Wyssachen",968,57,342,210,62
75602460628,"Zäziwil",1247,59.5,349,393,47
75602450556,"Zielebach",265,55.5,84,63,57.1
75602460361,"Zollikofen",6858,65.2,1532,2937,34.3
75602460557,"Zuzwil (BE)",445,70.8,120,195,38.1
75602480794,"Zweisimmen",2308,59.4,708,664,51.6
75602470947,"Zwieselberg",221,68.3,82,69,54.3
