"municipality_name","id","entitled_to_vote","turnout","yes_m","no_m","yes_m_pct","no_m_pct","yes_e","no_e","yes_e_pct","no_e_pct","yes_f","no_f","yes_f_pct","no_f_pct","yes_r","no_r","yes_r_pct","no_r_pct"
"Huttwil",75602440954,3563,55.6,1008,936,51.9,48.1,958,1024,48.3,51.7,689,1243,35.7,64.3,1240,719,63.3,36.7
"Iffwil",75602460541,329,63.2,106,99,51.7,48.3,100,108,48.1,51.9,68,137,33.2,66.8,120,87,58,42
"Inkwil",75602440980,521,68.5,169,178,48.7,51.3,204,153,57.1,42.9,120,225,34.8,65.2,217,133,62,38
"Innertkirchen",75602500784,847,53.8,219,230,48.8,51.2,271,185,59.4,40.6,147,298,33,67,340,111,75.4,24.6
"Ins",75602430496,2271,65.5,664,795,45.5,54.5,600,887,40.3,59.7,579,861,40.2,59.8,913,574,61.4,38.6
"Interlaken",75602500581,3510,58.1,901,1094,45.2,54.8,823,1216,40.4,59.6,771,1229,38.6,61.5,1232,781,61.2,38.8
"Ipsach",75602420739,2935,67.1,990,939,51.3,48.7,756,1214,38.4,61.6,721,1187,37.8,62.2,1286,665,65.9,34.1
"Iseltwald",75602500582,329,59,99,91,52.1,47.9,118,76,60.8,39.2,68,118,36.6,63.4,147,45,76.6,23.4
"Ittigen",75602460362,7567,61.1,2020,2525,44.4,55.6,1547,3078,33.4,66.6,1735,2762,38.6,61.4,2674,1902,58.4,41.6
"Jaberg",75602460868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jegenstorf",75602460540,4175,67.6,1264,1515,45.5,54.5,998,1826,35.3,64.7,1003,1756,36.4,63.6,1637,1170,58.3,41.7
"Jens",75602430738,540,68.5,176,182,49.2,50.8,165,205,44.6,55.4,128,229,35.9,64.1,250,119,67.8,32.2
"Kallnach",75602430304,1482,59.4,425,448,48.7,51.3,447,434,50.7,49.3,308,554,35.7,64.3,591,290,67.1,32.9
"Kandergrund",75602490564,619,57.5,231,122,65.4,34.6,246,110,69.1,30.9,135,217,38.4,61.6,249,105,70.3,29.7
"Kandersteg",75602490565,922,59.4,275,267,50.7,49.3,260,288,47.4,52.6,171,361,32.1,67.9,325,219,59.7,40.3
"Kappelen",75602430305,997,62.3,325,292,52.7,47.3,323,298,52,48,235,376,38.5,61.5,419,200,67.7,32.3
"Kaufdorf",75602460869,779,69.8,288,250,53.5,46.5,209,335,38.4,61.6,233,303,43.5,56.5,315,229,57.9,42.1
"Kehrsatz",75602460870,2699,66.8,812,958,45.9,54.1,592,1210,32.9,67.1,676,1072,38.7,61.3,1009,773,56.6,43.4
"Kernenried",75602450411,401,60.8,125,116,51.9,48.1,139,105,57,43,78,154,33.6,66.4,151,93,61.9,38.1
"Kiesen",75602460611,691,63,216,214,50.2,49.8,211,224,48.5,51.5,142,275,34.1,65.9,273,159,63.2,36.8
"Kirchberg (BE)",75602450412,4175,60.7,1150,1349,46,54,1046,1489,41.3,58.7,867,1609,35,65,1606,905,64,36
"Kirchdorf (BE)",75602460872,1196,64.9,361,407,47,53,383,393,49.4,50.6,260,493,34.5,65.5,479,290,62.3,37.7
"Kirchenthurnen",75602460873,229,59.8,78,58,57.4,42.6,75,60,55.6,44.4,46,89,34.1,65.9,99,38,72.3,27.7
"Kirchlindach",75602460354,2250,75.2,653,1013,39.2,60.8,548,1144,32.4,67.6,630,1026,38,62,903,767,54.1,45.9
"Köniz",75602460355,27848,66.3,7160,10989,39.5,60.5,5253,13205,28.5,71.5,7997,9958,44.5,55.5,9267,8993,50.8,49.2
"Konolfingen",75602460612,4021,63,1197,1287,48.2,51.8,1114,1420,44,56,922,1537,37.5,62.5,1464,1020,58.9,41.1
"Koppigen",75602450413,1649,58,440,502,46.7,53.3,440,517,46,54,304,627,32.7,67.3,658,291,69.3,30.7
"Krattigen",75602490566,875,61.1,278,251,52.6,47.4,219,316,40.9,59.1,181,339,34.8,65.2,362,173,67.7,32.3
"Krauchthal",75602450414,1895,58.4,594,503,54.1,45.9,600,507,54.2,45.8,430,653,39.7,60.3,743,352,67.9,32.1
"Kriechenwil",75602460666,348,59.8,115,89,56.4,43.6,102,106,49,51,86,120,41.7,58.3,129,77,62.6,37.4
"La Ferrière",75602410435,414,44.4,97,87,52.7,47.3,64,120,34.8,65.2,81,96,45.8,54.2,77,105,42.3,57.7
"La Neuveville",75602410723,2602,57.3,733,710,50.8,49.2,442,1048,29.7,70.3,660,759,46.5,53.5,785,686,53.4,46.6
"Landiswil",75602460613,541,60.4,180,144,55.6,44.4,213,114,65.1,34.9,113,205,35.5,64.5,214,113,65.4,34.6
"Langenthal",75602440329,10360,58.4,2592,3361,43.5,56.5,2187,3865,36.1,63.9,2296,3612,38.9,61.1,3544,2481,58.8,41.2
"Langnau im Emmental",75602450902,7342,55.3,1812,2168,45.5,54.5,1674,2387,41.2,58.8,1662,2285,42.1,57.9,2293,1740,56.9,43.1
"Lauenen",75602480842,612,55.7,177,149,54.3,45.7,200,141,58.7,41.3,111,200,35.7,64.3,250,86,74.4,25.6
"Laupen",75602460667,2266,60.3,579,774,42.8,57.2,478,889,35,65,478,870,35.5,64.5,799,552,59.1,40.9
"Lauperswil",75602450903,2195,52.8,629,505,55.5,44.5,716,443,61.8,38.2,377,726,34.2,65.8,724,428,62.8,37.2
"Lauterbrunnen",75602500584,1624,55.5,475,405,54,46,430,471,47.7,52.3,314,569,35.6,64.4,616,280,68.8,31.3
"Leissigen",75602500585,771,56.5,222,209,51.5,48.5,230,206,52.8,47.2,173,261,39.9,60.1,285,148,65.8,34.2
"Lengnau (BE)",75602420387,3279,53.5,926,800,53.7,46.3,835,918,47.6,52.4,720,980,42.4,57.6,1165,570,67.1,32.9
"Lenk",75602480792,1829,59.9,571,488,53.9,46.1,660,435,60.3,39.7,360,688,34.4,65.6,769,300,71.9,28.1
"Leuzigen",75602430388,952,58.5,298,244,55,45,286,271,51.3,48.7,211,318,39.9,60.1,363,187,66,34
"Ligerz",75602420740,425,72.2,136,166,45,55,90,217,29.3,70.7,121,180,40.2,59.8,170,135,55.7,44.3
"Linden",75602460614,1034,55,338,216,61,39,396,173,69.6,30.4,199,348,36.4,63.6,410,146,73.7,26.3
"Lohnstorf",75602460874,171,65.5,45,65,40.9,59.1,53,59,47.3,52.7,39,73,34.8,65.2,63,48,56.8,43.2
"Lotzwil",75602440331,1706,58.6,562,428,56.8,43.2,421,579,42.1,57.9,373,599,38.4,61.6,651,337,65.9,34.1
"Loveresse",75602410696,246,56.5,78,60,56.5,43.5,76,63,54.7,45.3,67,65,50.8,49.2,79,58,57.7,42.3
"Lüscherz",75602430497,417,59.2,130,113,53.5,46.5,137,110,55.5,44.5,90,150,37.5,62.5,176,70,71.5,28.5
"Lütschental",75602500586,195,50.3,60,38,61.2,38.8,69,29,70.4,29.6,33,64,34,66,71,26,73.2,26.8
"Lützelflüh",75602450955,3240,56.3,971,829,53.9,46.1,985,840,54,46,644,1134,36.2,63.8,1173,641,64.7,35.3
"Lyss",75602430306,10062,57.1,2693,2969,47.6,52.4,2259,3487,39.3,60.7,2057,3535,36.8,63.2,3520,2178,61.8,38.2
"Lyssach",75602450415,1102,60.8,311,351,47,53,343,327,51.2,48.8,231,423,35.3,64.7,435,222,66.2,33.8
"Madiswil",75602440332,2554,59.7,783,728,51.8,48.2,752,772,49.3,50.7,508,978,34.2,65.8,969,545,64,36
"Matten bei Interlaken",75602500587,2789,57.6,746,822,47.6,52.4,714,892,44.5,55.5,588,957,38.1,61.9,992,588,62.8,37.2
"Mattstetten",75602460543,467,70.7,158,172,47.9,52.1,148,182,44.8,55.2,106,220,32.5,67.5,208,121,63.2,36.8
"Meienried",75602430389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meikirch",75602460307,1945,70.4,605,744,44.8,55.2,453,917,33.1,66.9,552,787,41.2,58.8,763,598,56.1,43.9
"Meinisberg",75602420390,960,56.7,301,234,56.3,43.7,268,276,49.3,50.7,198,337,37,63,351,191,64.8,35.2
"Meiringen",75602500785,3288,58.5,925,975,48.7,51.3,879,1046,45.7,54.3,721,1150,38.5,61.5,1188,734,61.8,38.2
