"id","municipality_name","yes2010","yes2014","yes2016"
75602460535,"Deisswil bei Münchenbuchsee",NA,NA,NA
75602460536,"Diemerswil",52.5,50.6,44.5
75602460538,"Fraubrunnen",45.9,51.1,39.6
75602460540,"Jegenstorf",45.9,46.4,35.3
75602460541,"Iffwil",56,58,48.1
75602460543,"Mattstetten",56.2,56.2,44.8
75602460544,"Moosseedorf",56.2,51.7,41.7
75602460546,"Münchenbuchsee",50.9,44.9,34.3
75602460551,"Urtenen-Schönbühl",57,53.1,41.6
75602460553,"Wiggiswil",64.4,64.1,50
75602460557,"Zuzwil (BE)",55.6,50.3,38.1
75602460602,"Arni (BE)",73.4,68.4,61.3
75602460603,"Biglen",55.4,53.8,43.2
75602460605,"Bowil",69.9,68.5,58.7
75602460606,"Brenzikofen",67.3,73.3,60.4
75602460607,"Freimettigen",60.4,66.8,48.6
75602460608,"Grosshöchstetten",51.2,51,38.5
75602460609,"Häutligen",79.6,80.2,65.6
75602460610,"Herbligen",68.2,68.2,57.6
75602460611,"Kiesen",59.8,55.5,48.5
75602460612,"Konolfingen",58.8,53.8,44
75602460613,"Landiswil",73.9,76.1,65.1
75602460614,"Linden",78.2,75.6,69.6
75602460615,"Mirchel",73.1,73.8,58.6
75602460616,"Münsingen",45.3,46,33.7
75602460617,"Niederhünigen",47.9,53.7,43.3
75602460619,"Oberdiessbach",60.9,61.4,50.2
75602460620,"Oberthal",65.1,72.8,60
75602460622,"Oppligen",58.8,59.3,51.9
75602460623,"Rubigen",46.7,46.2,35.3
75602460624,"Schlosswil",55.8,56.7,46
75602460625,"Tägertschi",63.9,62.5,48.6
75602460626,"Walkringen",64.5,66.1,55.5
75602460627,"Worb",49,48,36.4
75602460628,"Zäziwil",59.4,60.6,47
75602460629,"Oberhünigen",75.6,72.8,62.9
75602460630,"Allmendingen",54.4,50.4,49
75602460632,"Wichtrach",57.5,55,43.9
75602460661,"Clavaleyres",NA,NA,NA
75602460662,"Ferenbalm",66.3,62.1,55.4
75602460663,"Frauenkappelen",54.6,52.6,36.9
75602460664,"Golaten",73.5,73.9,62.2
75602460665,"Gurbrü",74.3,69.6,52.8
75602460666,"Kriechenwil",68.4,63.1,49
75602460667,"Laupen",48.6,45.6,35
75602460668,"Mühleberg",59.7,57.5,46.3
75602460669,"Münchenwiler",56.1,60.7,49.8
75602460670,"Neuenegg",60,58.1,48.8
75602460671,"Wileroltigen",73.8,67.6,59.6
75602460852,"Guggisberg",73.8,74.6,60.9
75602460853,"Rüschegg",62.5,67,57.2
75602460861,"Belp",57.1,54.4,43.8
75602460865,"Gelterfingen",73.1,74.6,64.6
75602460866,"Gerzensee",58.3,59.6,44.9
75602460868,"Jaberg",NA,NA,NA
75602460869,"Kaufdorf",47.6,46.5,38.4
75602460870,"Kehrsatz",47.8,43.5,32.9
75602460872,"Kirchdorf (BE)",61.6,58,49.4
75602460873,"Kirchenthurnen",63.2,74.2,55.6
75602460874,"Lohnstorf",57.6,61.1,47.3
75602460875,"Mühledorf (BE)",59.1,53.3,42.1
75602460876,"Mühlethurnen",48.8,44.1,36.7
75602460877,"Niedermuhlern",NA,NA,NA
75602460878,"Noflen",NA,NA,NA
75602460879,"Riggisberg",64.8,63.8,56
75602460880,"Rüeggisberg",66.8,68,58.9
75602460881,"Rümligen",67.2,62.2,51.1
75602460884,"Toffen",57.3,56.4,42.2
75602460888,"Wald (BE)",58.7,58,44.8
75602470767,"Reutigen",68.8,67.1,57.6
75602470863,"Burgistein",70.6,65.3,55.8
75602470867,"Gurzelen",70.8,66,57.4
75602470883,"Seftigen",61.2,61.5,49.6
75602470885,"Uttigen",61.4,58.6,47.5
75602470886,"Wattenwil",63.8,65,55.2
75602470921,"Amsoldingen",68.2,64.2,54
75602470922,"Blumenstein",71.2,67.5,59
75602470923,"Buchholterberg",76,76.7,69.6
75602470924,"Eriz",86.2,81.4,80.2
75602470925,"Fahrni",73.6,71.9,62.3
75602470927,"Heiligenschwendi",61.9,59.5,54.7
75602470928,"Heimberg",64.3,62.7,51.3
75602470929,"Hilterfingen",48.1,46.7,36.1
75602470931,"Homberg",75.3,76.3,70.3
75602470932,"Horrenbach-Buchen",90.2,93.6,90.2
75602470934,"Oberhofen am Thunersee",50,52.5,39.5
75602470935,"Oberlangenegg",86.8,82.7,75.7
75602470936,"Pohlern",77.1,80,67.8
75602470937,"Schwendibach",77.8,70.7,59.7
75602470938,"Sigriswil",70.2,70,61
75602470939,"Steffisburg",56.7,54.1,44.5
75602470940,"Teuffenthal (BE)",83.3,84.8,73.6
75602470941,"Thierachern",64.7,63.7,55
75602470942,"Thun",53.1,51.6,40.5
75602470943,"Uebeschi",66.7,76.2,67.2
75602470944,"Uetendorf",67.4,61.7,55.5
75602470945,"Unterlangenegg",76.8,72.8,68.1
75602470946,"Wachseldorn",82.8,74.5,76.2
75602470947,"Zwieselberg",60,60.5,54.3
75602470948,"Forst-Längenbühl",77.2,66.5,61.6
75602480791,"Boltigen",72.9,76,67.9
75602480792,"Lenk",68.1,67.7,60.3
75602480793,"St. Stephan",81.2,79,74
75602480794,"Zweisimmen",68.8,63.4,51.6
75602480841,"Gsteig",70.8,68.8,55.7
75602480842,"Lauenen",76.6,72.8,58.7
75602480843,"Saanen",61.3,61.3,48.6
75602490561,"Adelboden",75.9,71.8,63.5
75602490562,"Aeschi bei Spiez",66.7,60.9,54
75602490563,"Frutigen",73.4,69.2,58.8
75602490564,"Kandergrund",84.5,74.8,69.1
75602490565,"Kandersteg",60.6,54.4,47.4
75602490566,"Krattigen",58.3,59.7,40.9
75602490567,"Reichenbach im Kandertal",75.7,71.3,66.6
75602490761,"Därstetten",86.4,78.7,68.3
75602490762,"Diemtigen",81.3,79.2,73.2
75602490763,"Erlenbach im Simmental",70.3,69.5,61.6
75602490766,"Oberwil im Simmental",79,79.8,69.7
75602490768,"Spiez",54.6,52.1,42.6
75602490769,"Wimmis",72.5,64.6,59.9
75602500571,"Beatenberg",67.4,60.7,54.9
75602500572,"Bönigen",63,57.8,49.5
75602500573,"Brienz (BE)",60.5,59.8,53.1
75602500574,"Brienzwiler",73.6,72.3,60.3
75602500575,"Därligen",62.1,59.5,51.7
75602500576,"Grindelwald",73.4,68.1,63.3
75602500577,"Gsteigwiler",63.8,56.4,45.7
75602500578,"Gündlischwand",75.8,75,65.6
75602500579,"Habkern",76.6,80.6,70.4
75602500580,"Hofstetten bei Brienz",74.2,63.2,51
75602500581,"Interlaken",55.6,52.7,40.4
75602500582,"Iseltwald",73.3,64.1,60.8
75602500584,"Lauterbrunnen",59.9,57.5,47.7
75602500585,"Leissigen",57.5,61.6,52.8
75602500586,"Lütschental",75,80.2,70.4
75602500587,"Matten bei Interlaken",62.1,58.4,44.5
75602500588,"Niederried bei Interlaken",59.5,60.8,51
75602500589,"Oberried am Brienzersee",65.9,57,51.6
75602500590,"Ringgenberg (BE)",67.4,60.7,50.8
75602500591,"Saxeten",68.6,73.5,69.8
