Local Measure F - CITY/COUNTY OF SAN FRANCI (190),,,,,,,,,,
,,,,,,,,,,
Precinct Totals,,,,,,,,,,
PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7045,VBM,7045,1,708,212,29.94,56,152,4,0
Pct 7046/7042,Election Day,7046,1,1012,104,10.28,53,49,1,1
Pct 7046/7042,VBM,7046,1,1012,261,25.79,87,170,7,0
Pct 7047,Election Day,7047,1,758,69,9.10,28,40,0,0
Pct 7047,VBM,7047,1,758,261,34.43,70,187,5,0
Pct 7048/7036,Election Day,7048,1,1606,90,5.60,30,59,2,1
Pct 7048/7036,VBM,7048,1,1606,386,24.03,104,277,6,0
Pct 7049/7051,Election Day,7049,1,1524,139,9.12,42,93,5,0
Pct 7049/7051,VBM,7049,1,1524,431,28.28,121,300,11,0
Pct 7052/7053,Election Day,7052,1,1183,117,9.89,46,70,0,0
Pct 7052/7053,VBM,7052,1,1183,360,30.43,116,237,11,0
Pct 7054/7044,Election Day,7054,1,1639,133,8.11,45,82,5,1
Pct 7054/7044,VBM,7054,1,1639,275,16.78,94,176,7,0
Pct 7101 MB,Election Day,7101,1,120,1,0.83,1,0,0,0
Pct 7101 MB,VBM,7101,1,120,57,47.50,31,26,1,0
Pct 7201,Election Day,7201,1,823,125,15.19,54,68,2,1
Pct 7201,VBM,7201,1,823,234,28.43,96,139,5,0
Pct 7202,Election Day,7202,1,740,144,19.46,63,81,0,0
Pct 7202,VBM,7202,1,740,227,30.68,90,134,3,0
Pct 7203,Election Day,7203,1,736,134,18.21,60,76,2,0
Pct 7203,VBM,7203,1,736,170,23.10,65,108,4,0
Pct 7205/7204,Election Day,7205,1,1584,261,16.48,119,137,5,0
Pct 7205/7204,VBM,7205,1,1584,523,33.02,206,304,13,1
Pct 7206,Election Day,7206,1,315,61,19.37,24,37,0,0
Pct 7206,VBM,7206,1,315,67,21.27,24,45,0,0
Pct 7207,Election Day,7207,1,535,92,17.20,43,49,0,0
Pct 7207,VBM,7207,1,535,137,25.61,57,82,5,0
Pct 7208/7209,Election Day,7208,1,1017,122,12.00,59,60,3,0
Pct 7208/7209,VBM,7208,1,1017,411,40.41,127,281,10,0
Pct 7301/7304,Election Day,7301,1,1766,307,17.38,153,160,14,1
Pct 7301/7304,VBM,7301,1,1766,578,32.73,262,302,17,0
Pct 7302,Election Day,7302,1,737,127,17.23,65,57,5,0
Pct 7302,VBM,7302,1,737,328,44.50,144,174,9,0
Pct 7303/7306,Election Day,7303,1,1737,382,21.99,169,197,16,0
Pct 7303/7306,VBM,7303,1,1737,533,30.69,207,316,9,1
Pct 7305/7307,Election Day,7305,1,1450,360,24.83,163,191,6,0
Pct 7305/7307,VBM,7305,1,1450,481,33.17,208,267,8,0
Pct 7308,Election Day,7308,1,546,138,25.27,66,72,0,0
Pct 7308,VBM,7308,1,546,211,38.64,75,130,6,0
Pct 7309,Election Day,7309,1,725,167,23.03,80,78,4,0
Pct 7309,VBM,7309,1,725,162,22.34,65,100,4,0
Pct 7312,Election Day,7312,1,811,146,18.00,57,90,0,0
Pct 7312,VBM,7312,1,811,316,38.96,114,193,11,0
Pct 7313/7314,Election Day,7313,1,1510,212,14.04,109,95,6,2
Pct 7313/7314,VBM,7313,1,1510,575,38.08,232,316,28,1
Pct 7315/7316,Election Day,7315,1,1394,285,20.44,169,102,13,1
Pct 7315/7316,VBM,7315,1,1394,447,32.07,220,205,21,1
Pct 7317,Election Day,7317,1,838,143,17.06,84,56,3,0
Pct 7317,VBM,7317,1,838,325,38.78,153,171,4,0
Pct 7318/7311,Election Day,7318,1,1486,312,21.00,157,148,7,0
Pct 7318/7311,VBM,7318,1,1486,439,29.54,195,244,13,0
Pct 7319/7324,Election Day,7319,1,1542,259,16.80,129,127,3,0
Pct 7319/7324,VBM,7319,1,1542,437,28.34,198,228,16,1
Pct 7321,Election Day,7321,1,599,98,16.36,38,55,5,0
Pct 7321,VBM,7321,1,599,198,33.06,97,95,6,0
Pct 7322,Election Day,7322,1,816,79,9.68,32,39,8,0
Pct 7322,VBM,7322,1,816,367,44.98,159,179,28,4
Pct 7323,Election Day,7323,1,716,156,21.79,79,76,3,0
Pct 7323,VBM,7323,1,716,214,29.89,101,108,6,0
Pct 7325,Election Day,7325,1,803,175,21.79,76,94,4,0
Pct 7325,VBM,7325,1,803,207,25.78,96,110,3,0
Pct 7326,Election Day,7326,1,757,151,19.95,85,64,2,0
Pct 7326,VBM,7326,1,757,236,31.18,100,134,6,0
Pct 7329/7328,Election Day,7329,1,1402,138,9.84,57,69,13,0
Pct 7329/7328,VBM,7329,1,1402,633,45.15,260,345,28,1
Pct 7331,Election Day,7331,1,783,150,19.16,77,70,3,0
Pct 7331,VBM,7331,1,783,298,38.06,150,144,5,0
Pct 7332/7334,Election Day,7332,1,1497,284,18.97,178,102,5,0
Pct 7332/7334,VBM,7332,1,1497,449,29.99,238,202,10,1
Pct 7333,Election Day,7333,1,851,165,19.39,82,77,5,0
Pct 7333,VBM,7333,1,851,242,28.44,117,119,5,1
Pct 7336/7345,Election Day,7336,1,1729,335,19.38,186,145,5,0
Pct 7336/7345,VBM,7336,1,1729,513,29.67,241,264,9,1
Pct 7337,Election Day,7337,1,783,122,15.58,55,66,1,0
Pct 7337,VBM,7337,1,783,290,37.04,121,160,7,0
Pct 7338/7327,Election Day,7338,1,1511,174,11.52,80,82,12,0
Pct 7338/7327,VBM,7338,1,1511,681,45.07,229,423,31,0
Pct 7339/7341,Election Day,7339,1,1375,255,18.55,149,95,8,1
Pct 7339/7341,VBM,7339,1,1375,356,25.89,187,169,3,0
Pct 7342/7335,Election Day,7342,1,1651,337,20.41,199,130,8,0
Pct 7342/7335,VBM,7342,1,1651,495,29.98,233,254,11,1
Pct 7343/7344,Election Day,7343,1,1532,275,17.95,160,112,3,0
Pct 7343/7344,VBM,7343,1,1532,414,27.02,217,193,2,0
Pct 7346/7347,Election Day,7346,1,1641,322,19.62,211,108,3,0
Pct 7346/7347,VBM,7346,1,1641,409,24.92,242,159,9,0
Pct 7348,Election Day,7348,1,751,122,16.25,62,59,2,0
Pct 7348,VBM,7348,1,751,189,25.17,105,81,3,0
Pct 7349,Election Day,7349,1,820,134,16.34,74,55,5,0
Pct 7349,VBM,7349,1,820,221,26.95,105,110,9,0
Pct 7501/7504,Election Day,7501,1,920,138,15.00,43,94,1,0
Pct 7501/7504,VBM,7501,1,920,209,22.72,65,134,11,0
Pct 7503/7502,Election Day,7503,1,1378,201,14.59,112,87,2,0
Pct 7503/7502,VBM,7503,1,1378,355,25.76,140,212,8,0
Pct 7505,Election Day,7505,1,812,103,12.68,39,64,1,1
Pct 7505,VBM,7505,1,812,374,46.06,125,244,7,0
Pct 7507/7506,Election Day,7507,1,1690,214,12.66,100,104,10,0
Pct 7507/7506,VBM,7507,1,1690,401,23.73,169,219,17,0
Pct 7508,Election Day,7508,1,648,105,16.20,57,48,0,0
Pct 7508,VBM,7508,1,648,254,39.20,99,142,15,0
Pct 7509/7511,Election Day,7509,1,852,145,17.02,76,64,5,0
Pct 7509/7511,VBM,7509,1,852,262,30.75,125,132,7,0
Pct 7513/7512,Election Day,7513,1,1254,196,15.63,98,94,5,0
Pct 7513/7512,VBM,7513,1,1254,309,24.64,123,167,18,0
Pct 7515/7514,Election Day,7515,1,1553,151,9.72,70,77,3,0
Pct 7515/7514,VBM,7515,1,1553,362,23.31,134,217,11,0
Pct 7516,Election Day,7516,1,758,117,15.44,50,66,1,0
Pct 7516,VBM,7516,1,758,278,36.68,116,148,14,0
Pct 7518/7517,Election Day,7518,1,1643,395,24.04,232,158,6,0
Pct 7518/7517,VBM,7518,1,1643,419,25.50,208,208,4,1
Pct 7521/7519,Election Day,7521,1,1405,326,23.20,179,152,3,0
Pct 7521/7519,VBM,7521,1,1405,322,22.92,143,178,9,0
Pct 7523/7522,Election Day,7523,1,1477,349,23.63,233,116,1,0
Pct 7523/7522,VBM,7523,1,1477,338,22.88,157,179,7,0
Pct 7524,Election Day,7524,1,594,112,18.86,52,59,2,0
Pct 7524,VBM,7524,1,594,115,19.36,51,65,1,0
Pct 7525/7526,Election Day,7525,1,1577,250,15.85,153,94,4,0
Pct 7525/7526,VBM,7525,1,1577,398,25.24,184,205,11,0
Pct 7527/7528,Election Day,7527,1,693,158,22.80,71,81,6,0
Pct 7527/7528,VBM,7527,1,693,159,22.94,63,95,2,0
Pct 7529/7531,Election Day,7529,1,1655,364,21.99,221,146,5,0
Pct 7529/7531,VBM,7529,1,1655,399,24.11,210,183,12,0
Pct 7532/7545,Election Day,7532,1,1495,303,20.27,161,138,3,1
Pct 7532/7545,VBM,7532,1,1495,360,24.08,157,207,5,0
Pct 7533/7534,Election Day,7533,1,1666,467,28.03,281,178,6,0
Pct 7533/7534,VBM,7533,1,1666,377,22.63,186,194,3,0
Pct 7536/7537,Election Day,7536,1,1461,357,24.44,192,164,2,0
Pct 7536/7537,VBM,7536,1,1461,401,27.45,195,204,8,2
Pct 7539/7538,Election Day,7539,1,1603,447,27.89,259,179,8,1
